Stempelnummer;found;rating;stamptime
2;false;0.0;null
3;false;0.0;null
4;false;0.0;null
5;false;0.0;null
6;false;0.0;null
7;false;0.0;null
8;false;0.0;null
10;false;0.0;null
11;false;0.0;null
15;false;0.0;null
16;false;0.0;null
17;false;0.0;null
18;false;0.0;null
22;false;0.0;null
23;false;0.0;null
24;false;0.0;null
25;false;0.0;null
26;false;0.0;null
27;false;0.0;null
28;false;0.0;null
29;false;0.0;null
30;false;0.0;null
31;false;0.0;null
32;false;0.0;null
33;false;0.0;null
34;false;0.0;null
35;false;0.0;null
36;false;0.0;null
37;false;0.0;null
38;false;0.0;null
39;false;0.0;null
42;false;0.0;null
44;false;0.0;null
45;false;0.0;null
46;false;0.0;null
47;false;0.0;null
48;false;0.0;null
49;false;0.0;null
50;false;0.0;null
51;false;0.0;null
52;false;0.0;null
53;false;0.0;null
54;false;0.0;null
55;false;0.0;null
56;false;0.0;1377295200000
57;false;0.0;null
59;false;0.0;null
60;false;0.0;null
61;false;0.0;null
62;false;0.0;null
63;false;0.0;null
64;false;0.0;null
65;false;0.0;null
66;false;0.0;null
68;false;0.0;null
70;false;0.0;null
72;false;0.0;null
73;false;0.0;null
85;false;0.0;null
87;false;0.0;null
88;false;0.0;null
89;false;0.0;null
91;false;0.0;null
93;false;0.0;null
94;false;0.0;null
96;false;0.0;null
97;false;0.0;null
99;false;0.0;null
105;false;0.0;null
109;false;0.0;null
114;false;0.0;null
119;false;0.0;null
120;false;0.0;null
145;false;0.0;null
166;false;0.0;null
167;false;0.0;null
171;false;0.0;null
172;false;0.0;null
173;false;0.0;null
174;false;0.0;null
175;false;0.0;null
176;false;0.0;null
177;false;0.0;null
179;false;0.0;null
180;false;0.0;null
182;false;0.0;null
184;false;0.0;null
189;false;0.0;null
190;false;0.0;null
192;false;0.0;null
193;false;0.0;null
194;false;0.0;null
195;false;0.0;null
196;false;0.0;null
197;false;0.0;null
198;false;0.0;null
200;false;0.0;null
201;false;0.0;null
202;false;0.0;null
203;false;0.0;null
204;false;0.0;null
205;false;0.0;null
206;false;0.0;null
207;false;0.0;null
208;false;0.0;null
210;false;0.0;null
212;false;0.0;null
213;false;0.0;null
214;false;0.0;null
216;false;0.0;null
217;false;0.0;null
218;false;0.0;null
219;false;0.0;null
221;false;0.0;null
